clients,n_trees,max_depth,bins,random_state,split,acc,mcc
2,5,10,100,0,4,0.9649122807017544,0.9246031746031746
2,5,10,100,0,0,0.9649122807017544,0.925974025974026
2,5,10,100,0,1,0.9649122807017544,0.9258200997725514
2,5,10,100,0,2,0.9298245614035088,0.8535639569308375
2,5,10,100,0,3,0.9473684210526315,0.8955910525085281
2,5,10,100,0,4,0.9464285714285714,0.8874245216579992
2,10,10,2,0,0,0.8947368421052632,0.7879356395430304
2,10,10,2,0,1,0.8771929824561403,0.7470873676376284
2,10,10,2,0,2,0.8070175438596491,0.5869126768948032
2,10,10,2,0,3,0.9122807017543859,0.8112561965679829
2,10,10,2,0,4,0.875,0.7305636159028805
2,10,10,2,0,0,0.8421052631578947,0.6855955967726526
2,10,10,2,0,1,0.9122807017543859,0.8179178119091964
2,10,10,2,0,2,0.8245614035087719,0.6172746282994729
2,10,10,2,0,3,0.8947368421052632,0.7740653530990438
2,10,10,2,0,4,0.8421052631578947,0.662595343916706
2,10,10,2,0,0,0.8421052631578947,0.6855955967726526
2,10,10,2,0,1,0.7719298245614035,0.5290400570128865
2,10,10,2,0,2,0.7719298245614035,0.5083148550796349
2,10,10,2,0,3,0.9473684210526315,0.8894991799933214
2,10,10,2,0,4,0.8571428571428571,0.7098422141520242
2,10,10,2,0,0,0.8596491228070176,0.7197016060085818
2,10,10,2,0,1,0.9122807017543859,0.8179178119091964
2,10,10,2,0,2,0.8245614035087719,0.6250041624903014
2,10,10,2,0,3,0.8947368421052632,0.7824607964359516
2,10,10,2,0,4,0.8070175438596491,0.5869126768948032
2,10,10,2,0,0,0.9298245614035088,0.8568930704969753
2,10,10,2,0,1,0.9122807017543859,0.8179178119091964
2,10,10,2,0,2,0.8596491228070176,0.6945667492672501
2,10,10,2,0,3,0.9122807017543859,0.810206767705014
2,10,10,2,0,4,0.8596491228070176,0.6998677123677122
2,10,10,2,0,0,0.8596491228070176,0.7197016060085818
2,10,10,2,0,1,0.8947368421052632,0.7824607964359516
2,10,10,2,0,2,0.8245614035087719,0.6250041624903014
2,10,10,2,0,3,0.9649122807017544,0.9258200997725514
2,10,10,2,0,4,0.8928571428571429,0.7721262749151064
2,10,10,5,0,0,0.9298245614035088,0.8566790854748145
2,10,10,5,0,1,0.9473684210526315,0.8864143349643965
2,10,10,5,0,2,0.9122807017543859,0.8139267835041308
2,10,10,5,0,3,0.9473684210526315,0.8886350389948482
2,10,10,5,0,4,0.9473684210526315,0.8894991799933214
2,10,10,5,0,0,0.9473684210526315,0.8886350389948482
2,10,10,5,0,1,0.9473684210526315,0.8894991799933214
2,10,10,5,0,2,0.9298245614035088,0.8486684247915055
2,10,10,5,0,3,0.9122807017543859,0.8219277191853159
2,10,10,5,0,4,0.9464285714285714,0.8852704127574261
2,10,10,5,0,0,0.9649122807017544,0.9273353546322172
2,10,10,5,0,1,0.9473684210526315,0.8864143349643965
2,10,10,5,0,2,0.8947368421052632,0.7738095238095238
2,10,10,5,0,3,0.9649122807017544,0.9246031746031746
2,10,10,5,0,4,0.9122807017543859,0.810206767705014
2,10,10,5,0,0,0.9473684210526315,0.8886350389948482
2,10,10,5,0,1,0.9473684210526315,0.8894991799933214
2,10,10,5,0,2,0.9298245614035088,0.8535639569308375
2,10,10,5,0,3,0.9122807017543859,0.8219277191853159
2,10,10,5,0,4,0.9464285714285714,0.8874245216579992
2,10,10,5,0,0,0.9473684210526315,0.8918825850158447
2,10,10,5,0,1,0.9473684210526315,0.8864143349643965
2,10,10,5,0,2,0.9298245614035088,0.8535639569308375
2,10,10,5,0,3,0.9473684210526315,0.8886350389948482
2,10,10,5,0,4,0.9464285714285714,0.8852704127574261
2,10,10,5,0,0,0.9649122807017544,0.9296696802013683
2,10,10,5,0,1,0.9473684210526315,0.8886350389948482
2,10,10,5,0,2,0.9298245614035088,0.8492063492063492
2,10,10,5,0,3,0.9298245614035088,0.8492063492063492
2,10,10,5,0,4,0.9298245614035088,0.8486684247915055
2,10,10,10,0,0,0.9649122807017544,0.925974025974026
2,10,10,10,0,1,0.9824561403508771,0.962621902223779
2,10,10,10,0,2,0.9298245614035088,0.8486684247915055
2,10,10,10,0,3,0.9122807017543859,0.8339741126155059
2,10,10,10,0,4,0.9285714285714286,0.8476190476190476
2,10,10,10,0,0,0.9473684210526315,0.8886350389948482
2,10,10,10,0,1,0.9122807017543859,0.810206767705014
2,10,10,10,0,2,0.9473684210526315,0.8955910525085281
2,10,10,10,0,3,0.9473684210526315,0.8886350389948482
2,10,10,10,0,4,0.9649122807017544,0.9258200997725514
2,10,10,10,0,0,0.9298245614035088,0.851823761469308
2,10,10,10,0,1,0.9649122807017544,0.9246031746031746
2,10,10,10,0,2,0.9298245614035088,0.8486684247915055
2,10,10,10,0,3,0.9473684210526315,0.8886350389948482
2,10,10,10,0,4,0.9642857142857143,0.9238095238095239
2,10,10,10,0,0,0.9298245614035088,0.8519480519480519
2,10,10,10,0,1,0.9473684210526315,0.8955910525085281
2,10,10,10,0,2,0.9298245614035088,0.8492063492063492
2,10,10,10,0,3,0.9824561403508771,0.962621902223779
2,10,10,10,0,4,0.9298245614035088,0.8492063492063492
2,10,10,10,0,0,0.9298245614035088,0.8519480519480519
2,10,10,10,0,1,0.9473684210526315,0.8886350389948482
2,10,10,10,0,2,0.9298245614035088,0.8544784126535336
2,10,10,10,0,3,0.9473684210526315,0.8886350389948482
2,10,10,10,0,4,0.9298245614035088,0.8492063492063492
2,10,10,10,0,0,0.9298245614035088,0.851823761469308
2,10,10,10,0,1,0.9824561403508771,0.962621902223779
2,10,10,10,0,2,0.9473684210526315,0.8864143349643965
2,10,10,10,0,3,0.9298245614035088,0.8544784126535336
2,10,10,10,0,4,0.9821428571428571,0.9629500128629354
2,10,10,25,0,0,0.9824561403508771,0.9639463400956773
2,10,10,25,0,1,0.9473684210526315,0.8886350389948482
2,10,10,25,0,2,0.8947368421052632,0.7738095238095238
2,10,10,25,0,3,0.9298245614035088,0.8544784126535336
2,10,10,25,0,4,0.9298245614035088,0.8492063492063492
2,10,10,25,0,0,0.9649122807017544,0.925974025974026
2,10,10,25,0,1,0.9649122807017544,0.9246031746031746
2,10,10,25,0,2,0.9473684210526315,0.8864143349643965
2,10,10,25,0,3,0.9649122807017544,0.9286112429750731
2,10,10,25,0,4,0.9821428571428571,0.9622504486493763
2,10,10,25,0,0,0.9473684210526315,0.8886350389948482
2,10,10,25,0,1,0.9473684210526315,0.8864143349643965
2,10,10,25,0,2,0.9649122807017544,0.9258200997725514
2,10,10,25,0,3,0.8947368421052632,0.790804668555721
2,10,10,25,0,4,0.9464285714285714,0.8874245216579992
2,10,10,25,0,0,0.9473684210526315,0.896979056930221
2,10,10,25,0,1,0.9473684210526315,0.8886350389948482
2,10,10,25,0,2,0.9473684210526315,0.8886350389948482
2,10,10,25,0,3,0.9473684210526315,0.8955910525085281
2,10,10,25,0,4,0.9473684210526315,0.8864143349643965
2,10,10,25,0,0,0.9649122807017544,0.9296696802013683
2,10,10,25,0,1,0.9649122807017544,0.9286112429750731
2,10,10,25,0,2,0.8947368421052632,0.7738095238095238
2,10,10,25,0,3,0.9122807017543859,0.8139267835041308
2,10,10,25,0,4,0.9473684210526315,0.8886350389948482
2,10,10,25,0,0,0.9473684210526315,0.8886350389948482
2,10,10,25,0,1,0.9824561403508771,0.962621902223779
2,10,10,25,0,2,0.9473684210526315,0.8894991799933214
2,10,10,25,0,3,0.9298245614035088,0.8544784126535336
2,10,10,25,0,4,0.9285714285714286,0.8528543616252254
2,10,10,50,0,0,0.9473684210526315,0.8886350389948482
2,10,10,50,0,1,0.8947368421052632,0.7738095238095238
2,10,10,50,0,2,0.9649122807017544,0.9286112429750731
2,10,10,50,0,3,0.9298245614035088,0.8544784126535336
2,10,10,50,0,4,0.9473684210526315,0.8886350389948482
2,10,10,50,0,0,0.9473684210526315,0.8886350389948482
2,10,10,50,0,1,0.9649122807017544,0.9246031746031746
2,10,10,50,0,2,0.9649122807017544,0.9258200997725514
2,10,10,50,0,3,0.9473684210526315,0.8955910525085281
2,10,10,50,0,4,0.9821428571428571,0.9629500128629354
2,10,10,50,0,0,0.9649122807017544,0.925974025974026
2,10,10,50,0,1,0.9298245614035088,0.8640987597877147
2,10,10,50,0,2,0.9298245614035088,0.8492063492063492
2,10,10,50,0,3,0.9122807017543859,0.8139267835041308
2,10,10,50,0,4,0.9122807017543859,0.8219277191853159
2,10,10,50,0,0,0.9649122807017544,0.925974025974026
2,10,10,50,0,1,0.9824561403508771,0.962621902223779
2,10,10,50,0,2,0.9298245614035088,0.8486684247915055
2,10,10,50,0,3,0.9298245614035088,0.8544784126535336
2,10,10,50,0,4,0.9464285714285714,0.8874245216579992
2,10,10,50,0,0,0.9122807017543859,0.8154355063002009
2,10,10,50,0,1,0.9649122807017544,0.9246031746031746
2,10,10,50,0,2,0.9649122807017544,0.9258200997725514
2,10,10,50,0,3,0.9298245614035088,0.8544784126535336
2,10,10,50,0,4,0.9642857142857143,0.9278305692406299
2,10,10,50,0,0,0.9473684210526315,0.8886350389948482
2,10,10,50,0,1,0.9473684210526315,0.8886350389948482
2,10,10,50,0,2,0.9122807017543859,0.8139267835041308
2,10,10,50,0,3,0.9122807017543859,0.8139267835041308
2,10,10,50,0,4,0.9473684210526315,0.8886350389948482
2,10,10,100,0,0,0.9298245614035088,0.851823761469308
2,10,10,100,0,1,0.9298245614035088,0.8486684247915055
2,10,10,100,0,2,0.9473684210526315,0.8864143349643965
2,10,10,100,0,3,0.8947368421052632,0.790804668555721
2,10,10,100,0,4,0.9285714285714286,0.862554346113913
2,10,10,100,0,0,0.9298245614035088,0.8519480519480519
2,10,10,100,0,1,0.9298245614035088,0.8544784126535336
2,10,10,100,0,2,0.9649122807017544,0.9246031746031746
2,10,10,100,0,3,0.9122807017543859,0.8139267835041308
2,10,10,100,0,4,0.9122807017543859,0.810206767705014
2,10,10,100,0,0,0.9473684210526315,0.896979056930221
2,10,10,100,0,1,0.9122807017543859,0.8139267835041308
2,10,10,100,0,2,0.9473684210526315,0.8864143349643965
2,10,10,100,0,3,0.9473684210526315,0.8886350389948482
2,10,10,100,0,4,0.9298245614035088,0.8492063492063492
2,10,10,100,0,0,0.9473684210526315,0.8904905361044291
2,10,10,100,0,1,0.9824561403508771,0.962621902223779
2,10,10,100,0,2,0.9649122807017544,0.9258200997725514
2,10,10,100,0,3,0.9298245614035088,0.8640987597877147
2,10,10,100,0,4,0.9464285714285714,0.8852704127574261
2,10,10,100,0,0,0.9649122807017544,0.925974025974026
2,10,10,100,0,1,0.9824561403508771,0.962621902223779
2,10,10,100,0,2,0.9298245614035088,0.8486684247915055
2,10,10,100,0,3,0.8947368421052632,0.790804668555721
2,10,10,100,0,4,0.9464285714285714,0.8874245216579992
2,10,10,100,0,0,0.9824561403508771,0.9639463400956773
2,10,10,100,0,1,0.9473684210526315,0.8886350389948482
2,10,10,100,0,2,0.8771929824561403,0.7392185280134135
2,10,10,100,0,3,0.9473684210526315,0.8955910525085281
2,10,10,100,0,4,0.9298245614035088,0.8492063492063492
2,50,10,2,0,0,0.8245614035087719,0.6513389472789296
2,50,10,2,0,1,0.8421052631578947,0.6761234037828132
2,50,10,2,0,2,0.8421052631578947,0.662595343916706
2,50,10,2,0,3,0.9122807017543859,0.8112561965679829
2,50,10,2,0,4,0.8245614035087719,0.6402639207379702
2,50,10,2,0,0,0.8070175438596491,0.6167939547439613
2,50,10,2,0,1,0.7719298245614035,0.5290400570128865
2,50,10,2,0,2,0.7894736842105263,0.5481047200256867
2,50,10,2,0,3,0.9122807017543859,0.8112561965679829
2,50,10,2,0,4,0.8214285714285714,0.6224770185640828
2,50,10,2,0,0,0.8245614035087719,0.6513389472789296
2,50,10,2,0,1,0.8596491228070176,0.7116835718867666
2,50,10,2,0,2,0.8070175438596491,0.5869126768948032
2,50,10,2,0,3,0.9298245614035088,0.8535639569308375
2,50,10,2,0,4,0.8070175438596491,0.5869126768948032
2,50,10,2,0,0,0.7894736842105263,0.5818000480733088
2,50,10,2,0,1,0.7719298245614035,0.5290400570128865
2,50,10,2,0,2,0.7719298245614035,0.5083148550796349
2,50,10,2,0,3,0.9298245614035088,0.8535639569308375
2,50,10,2,0,4,0.8392857142857143,0.674199862463242
2,50,10,2,0,0,0.7719298245614035,0.5461643109408143
2,50,10,2,0,1,0.7894736842105263,0.5669467095138409
2,50,10,2,0,2,0.7894736842105263,0.5481047200256867
2,50,10,2,0,3,0.8947368421052632,0.7824607964359516
2,50,10,2,0,4,0.7894736842105263,0.5481047200256867
2,50,10,2,0,0,0.7719298245614035,0.5461643109408143
2,50,10,2,0,1,0.7894736842105263,0.5669467095138409
2,50,10,2,0,2,0.7543859649122807,0.46720608469196145
2,50,10,2,0,3,0.8947368421052632,0.7824607964359516
2,50,10,2,0,4,0.8392857142857143,0.674199862463242
2,50,10,5,0,0,0.9473684210526315,0.8918825850158447
2,50,10,5,0,1,0.9473684210526315,0.8894991799933214
2,50,10,5,0,2,0.9122807017543859,0.8179178119091964
2,50,10,5,0,3,0.9473684210526315,0.8886350389948482
2,50,10,5,0,4,0.9642857142857143,0.9238095238095239
2,50,10,5,0,0,0.9824561403508771,0.9633432944855655
2,50,10,5,0,1,0.9473684210526315,0.8864143349643965
2,50,10,5,0,2,0.8947368421052632,0.7715167498104596
2,50,10,5,0,3,0.9122807017543859,0.8139267835041308
2,50,10,5,0,4,0.9298245614035088,0.8535639569308375
2,50,10,5,0,0,0.9649122807017544,0.9273353546322172
2,50,10,5,0,1,0.9824561403508771,0.962621902223779
2,50,10,5,0,2,0.9122807017543859,0.8112561965679829
2,50,10,5,0,3,0.9473684210526315,0.8886350389948482
2,50,10,5,0,4,0.9821428571428571,0.9622504486493763
2,50,10,5,0,0,1.0,1.0
2,50,10,5,0,1,0.9824561403508771,0.9633432944855655
2,50,10,5,0,2,0.9122807017543859,0.8139267835041308
2,50,10,5,0,3,0.9473684210526315,0.8864143349643965
2,50,10,5,0,4,0.9473684210526315,0.8864143349643965
2,50,10,5,0,0,1.0,1.0
2,50,10,5,0,1,0.9473684210526315,0.8886350389948482
2,50,10,5,0,2,0.8947368421052632,0.7738095238095238
2,50,10,5,0,3,0.9473684210526315,0.8864143349643965
2,50,10,5,0,4,0.9473684210526315,0.8894991799933214
2,50,10,5,0,0,0.9473684210526315,0.8918825850158447
2,50,10,5,0,1,0.9649122807017544,0.9258200997725514
2,50,10,5,0,2,0.9473684210526315,0.8894991799933214
2,50,10,5,0,3,0.9473684210526315,0.8886350389948482
